UID,Name,Allele0,Allele1,isSecret,baseChance,conditions
forestry.treeLime,Silver Lime,forestry.treeBirch,forestry.treeOak,false,15.0,
forestry.treeWalnut,Common Walnut,forestry.treeLime,forestry.treeCherry,false,10.0,
forestry.treeChestnut,Sweet Chestnut,forestry.treeWalnut,forestry.treeLime,false,10.0,
forestry.treeChestnut,Sweet Chestnut,forestry.treeWalnut,forestry.treeCherry,false,10.0,
forestry.treeCherry,Hill Cherry,forestry.treeLime,forestry.treeOak,false,10.0,
forestry.treeCherry,Hill Cherry,forestry.treeLime,forestry.treeBirch,false,10.0,
forestry.treeLemon,Lemon,forestry.treeLime,forestry.treeCherry,false,5.0,
forestry.treePlum,Plum,forestry.treeLemon,forestry.treeCherry,false,5.0,
forestry.treeMaple,Sugar Maple,forestry.treeSpruce,forestry.treeLarch,false,5.0,
forestry.treeLarch,Mundane Larch,forestry.treeSpruce,forestry.treeBirch,false,10.0,
forestry.treeLarch,Mundane Larch,forestry.treeSpruce,forestry.treeOak,false,10.0,
forestry.treePine,Bull Pine,forestry.treeSpruce,forestry.treeLarch,false,10.0,
forestry.treeSequioa,Coast Sequoia,forestry.treeLarch,forestry.treePine,false,5.0,
forestry.treeTeak,Teak,forestry.treeDarkOak,forestry.treeJungle,false,10.0,
forestry.treeIpe,Ipe,forestry.treeTeak,forestry.treeDarkOak,false,10.0,
forestry.treeKapok,Kapok,forestry.treeJungle,forestry.treeTeak,false,10.0,
forestry.treeEbony,Myrtle Ebony,forestry.treeDarkOak,forestry.treeKapok,false,10.0,
forestry.treeZebrawood,Zebrawood,forestry.treeEbony,forestry.treePoplar,false,5.0,
forestry.treeMahogony,Yellow Meranti,forestry.treeKapok,forestry.treeEbony,false,10.0,
forestry.treeAcacia,Desert Acacia,forestry.treeTeak,forestry.treeBalsa,false,10.0,
forestry.treePadauk,Padauk,forestry.treeAcaciaVanilla,forestry.treeJungle,false,10.0,
forestry.treeBalsa,Balsa,forestry.treeTeak,forestry.treeAcaciaVanilla,false,10.0,
forestry.treeCocobolo,Cocobolo,forestry.treeAcacia,forestry.treeDarkOak,false,10.0,
forestry.treeWenge,Wenge,forestry.treeCocobolo,forestry.treeBalsa,false,10.0,
forestry.treeBaobab,Grandidier's Baobab,forestry.treeBalsa,forestry.treeWenge,false,10.0,
forestry.treeMahoe,Blue Mahoe,forestry.treeBalsa,forestry.treeAcacia,false,5.0,
forestry.treeWillow,White Willow,forestry.treeOak,forestry.treeBirch,false,10.0,Requires temperature between Warm and Hot.|Requires Damp humidity.
forestry.treeWillow,White Willow,forestry.treeOak,forestry.treeLime,false,10.0,Requires temperature between Warm and Hot.|Requires Damp humidity.
forestry.treeWillow,White Willow,forestry.treeLime,forestry.treeBirch,false,10.0,Requires temperature between Warm and Hot.|Requires Damp humidity.
forestry.treeSipiri,Sipiri,forestry.treeKapok,forestry.treeMahogony,false,10.0,Requires temperature between Warm and Hot.|Requires Damp humidity.
forestry.treePapaya,Papaya,forestry.treeJungle,forestry.treeCherry,false,5.0,
forestry.treeDate,Date Palm,forestry.treeJungle,forestry.treePapaya,false,5.0,
forestry.treePoplar,White Poplar,forestry.treeBirch,forestry.treeWillow,false,5.0,
forestry.treePoplar,White Poplar,forestry.treeOak,forestry.treeWillow,false,5.0,
forestry.treePoplar,White Poplar,forestry.treeLime,forestry.treeWillow,false,5.0,
extratrees.species.keylime,Key Lime,forestry.treeCherry,forestry.treeLemon,false,10.0,
extratrees.species.fingerlime,Finger Lime,extratrees.species.keylime,forestry.treeLemon,false,10.0,
extratrees.species.pomelo,Pomelo,forestry.treeCherry,forestry.treeLemon,false,10.0,
extratrees.species.manderin,Manderine,extratrees.species.pomelo,forestry.treeCherry,false,10.0,
extratrees.species.citron,Citron,extratrees.species.pomelo,forestry.treeLemon,false,10.0,
extratrees.species.kumquat,Kumquat,extratrees.species.manderin,forestry.treeCherry,false,10.0,
extratrees.species.orange,Orange,extratrees.species.pomelo,extratrees.species.manderin,false,10.0,
extratrees.species.buddhahand,Buddha's Hand,extratrees.species.citron,extratrees.species.manderin,false,10.0,
extratrees.species.tangerine,Tangerine,extratrees.species.kumquat,extratrees.species.manderin,false,10.0,
extratrees.species.satsuma,Satsuma,extratrees.species.kumquat,extratrees.species.manderin,false,10.0,
extratrees.species.grapefruit,Grapefruit,extratrees.species.pomelo,extratrees.species.orange,false,10.0,
extratrees.species.lime,Lime,extratrees.species.pomelo,extratrees.species.keylime,false,10.0,
extratrees.species.orchardapple,Orchard Apple,forestry.treeOak,forestry.treeCherry,false,10.0,
extratrees.species.sweetcrabapple,Sweet Crabapple,extratrees.species.orchardapple,forestry.treeMaple,false,10.0,
extratrees.species.floweringcrabapple,Flowering Crabapple,extratrees.species.orchardapple,extratrees.species.sweetcrabapple,false,10.0,
extratrees.species.prairiecrabapple,Prairie Crabapple,extratrees.species.orchardapple,forestry.treeBirch,false,10.0,
extratrees.species.blackthorn,Blackthorn,forestry.treePlum,extratrees.species.orchardapple,false,10.0,
extratrees.species.cherryplum,Cherry Plum,forestry.treePlum,forestry.treeCherry,false,10.0,
extratrees.species.peach,Peach,forestry.treePlum,forestry.treeChestnut,false,10.0,
extratrees.species.nectarine,Nectarine,forestry.treePlum,extratrees.species.peach,false,10.0,
extratrees.species.apricot,Apricot,forestry.treePlum,extratrees.species.peach,false,10.0,
extratrees.species.almond,Almond,forestry.treePlum,forestry.treeWalnut,false,10.0,
extratrees.species.wildcherry,Wild Cherry,forestry.treeLime,forestry.treeCherry,false,10.0,
extratrees.species.sourcherry,Sour Cherry,forestry.treeWillow,forestry.treeCherry,false,10.0,
extratrees.species.blackcherry,Black Cherry,forestry.treeEbony,forestry.treeCherry,false,10.0,
extratrees.species.banana,Banana,forestry.treeBalsa,forestry.treeJungle,false,10.0,
extratrees.species.redbanana,Red Banana,extratrees.species.banana,forestry.treeKapok,false,10.0,
extratrees.species.plantain,Plantain,extratrees.species.banana,forestry.treeTeak,false,10.0,
extratrees.species.beech,Common Beech,forestry.treeBirch,forestry.treeOak,false,10.0,
extratrees.species.alder,Common Alder,forestry.treeBirch,extratrees.species.beech,false,10.0,
extratrees.species.aspen,Aspen,extratrees.species.alder,extratrees.species.beech,false,10.0,
